version,date
7.1.1,2023-08-01
7.1.2,2023-08-09
7.1.2a,2023-08-15
7.2.0,2023-08-29
7.2.1,2023-09-05
7.2.2,2023-09-13
7.2.3,2023-09-20
7.3.0,2023-10-10
7.3.1,2023-10-18
7.3.2,2023-10-26
7.3.3,2023-11-06
7.4.0,2023-11-28
7.4.1,2023-12-05
7.4.2,2023-12-13
7.5.0,2024-01-30
7.5.0a,2024-01-31
7.5.1,2024-02-08
7.5.2,2024-02-14
7.6.0,2024-03-12
7.6.1,2024-03-25
7.6.2,2024-04-01
7.7.0,2024-04-23
7.7.0a,2024-04-26
7.7.1,2024-05-06
8.0.0,2024-06-03
8.0.1,2024-06-13
8.0.2,2024-06-19
8.1.0,2024-07-16
8.1.1,2024-07-24
8.1.1a,2024-07-31
8.1.2,2024-08-06
8.2.0,2024-08-27
8.2.1,2024-09-04
8.2.2,2024-09-11
8.3.0,2024-10-08
8.3.1,2024-10-15
8.3.2,2024-10-24
8.4.0,2024-11-28
8.4.1,2024-12-09
8.4.2,2024-12-12
8.5.0,2025-01-28
8.5.1,2025-02-04
8.5.2,2025-02-12
8.6.0,2025-04-02
8.6.1,2025-04-09
8.7.0,2025-05-06
